year,rank,country_code,country,city_code,city,latitude,longitude,population
2015,16,156,China,20484,Chongqing,29.56,106.55,13.33
2015,17,566,Nigeria,22007,Lagos,6.45,3.40,13.12
2015,18,608,Philippines,22109,Manila,14.60,120.98,12.95
2015,19,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,12.90
2015,20,156,China,20517,"Guangzhou, Guangdong",23.13,113.26,12.46
2015,21,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,12.31
2015,22,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,12.17
2015,23,180,Democratic Republic of the Congo,20853,Kinshasa,-4.33,15.31,11.59
2015,24,156,China,20689,Tianjin,39.11,117.19,11.21
2015,25,250,France,20985,Paris,48.85,2.35,10.84
2015,26,156,China,20667,Shenzhen,22.54,114.06,10.75
2015,27,360,Indonesia,21454,Jakarta,-6.21,106.84,10.32
2015,28,826,United Kingdom,22860,London,51.51,-0.13,10.31
2015,29,356,India,21176,Bangalore,12.97,77.59,10.09
2015,30,604,Peru,22078,Lima,-12.04,-77.03,9.90
2020,1,392,Japan,21671,Tokyo,35.69,139.69,38.32
2020,2,356,India,21228,Delhi,28.67,77.22,29.35
2020,3,156,China,20656,Shanghai,31.22,121.46,27.14
2020,4,156,China,20464,Beijing,39.91,116.40,24.20
2020,5,356,India,21206,Mumbai (Bombay),19.07,72.88,22.84
2020,6,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,22.12
2020,7,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,21.87
2020,8,50,Bangladesh,20119,Dhaka,23.71,90.41,20.99
2020,9,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,20.57
2020,10,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,20.52
2020,11,586,Pakistan,22044,Karachi,24.91,67.08,19.23
2020,12,840,United States of America,23083,New York-Newark,40.72,-74.00,18.79
2020,13,566,Nigeria,22007,Lagos,6.45,3.40,16.17
2020,14,32,Argentina,20058,Buenos Aires,-34.61,-58.40,15.89
2020,15,356,India,21211,Kolkata (Calcutta),22.53,88.36,15.73
2020,16,156,China,20484,Chongqing,29.56,106.55,15.23
2020,17,156,China,20517,"Guangzhou, Guangdong",23.13,113.26,15.17
2020,18,792,Turkey,22691,Istanbul,41.01,28.95,15.10
2020,19,180,Democratic Republic of the Congo,20853,Kinshasa,-4.33,15.31,14.12
2020,20,608,Philippines,22109,Manila,14.60,120.98,13.94
2020,21,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,13.33
2020,22,156,China,20689,Tianjin,39.11,117.19,12.82
2020,23,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,12.47
2020,24,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,12.45
2020,25,356,India,21176,Bangalore,12.97,77.59,11.84
2020,26,360,Indonesia,21454,Jakarta,-6.21,106.84,11.30
2020,27,156,China,20667,Shenzhen,22.54,114.06,11.29
2020,28,250,France,20985,Paris,48.85,2.35,11.27
2020,29,356,India,21321,Chennai (Madras),13.05,80.25,11.24
2020,30,826,United Kingdom,22860,London,51.51,-0.13,10.85
2025,1,392,Japan,21671,Tokyo,35.69,139.69,37.88
2025,2,356,India,21228,Delhi,28.67,77.22,32.73
2025,3,156,China,20656,Shanghai,31.22,121.46,29.44
2025,4,156,China,20464,Beijing,39.91,116.40,26.49
2025,5,356,India,21206,Mumbai (Bombay),19.07,72.88,25.21
2025,6,50,Bangladesh,20119,Dhaka,23.71,90.41,24.33
2025,7,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,22.92
2025,8,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,22.90
2025,9,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,22.43
2025,10,586,Pakistan,22044,Karachi,24.91,67.08,22.01
2025,11,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,20.35
2025,12,566,Nigeria,22007,Lagos,6.45,3.40,20.03
2025,13,840,United States of America,23083,New York-Newark,40.72,-74.00,19.31
2025,14,356,India,21211,Kolkata (Calcutta),22.53,88.36,17.28
2025,15,180,Democratic Republic of the Congo,20853,Kinshasa,-4.33,15.31,16.92
2025,16,156,China,20517,"Guangzhou, Guangdong",23.13,113.26,16.74
2025,17,156,China,20484,Chongqing,29.56,106.55,16.57
2025,18,32,Argentina,20058,Buenos Aires,-34.61,-58.40,16.48
2025,19,792,Turkey,22691,Istanbul,41.01,28.95,15.96
2025,20,608,Philippines,22109,Manila,14.60,120.98,15.20
2025,21,156,China,20689,Tianjin,39.11,117.19,13.96
2025,22,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,13.79
2025,23,356,India,21176,Bangalore,12.97,77.59,13.33
2025,24,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,12.83
2025,25,360,Indonesia,21454,Jakarta,-6.21,106.84,12.59
2025,26,356,India,21321,Chennai (Madras),13.05,80.25,12.57
2025,27,643,Russian Federation,22299,Moskva (Moscow),55.75,37.62,12.38
2025,28,156,China,20667,Shenzhen,22.54,114.06,12.07
2025,29,250,France,20985,Paris,48.85,2.35,11.57
2025,30,604,Peru,22078,Lima,-12.04,-77.03,11.53
2030,1,392,Japan,21671,Tokyo,35.69,139.69,37.19
2030,2,356,India,21228,Delhi,28.67,77.22,36.06
2030,3,156,China,20656,Shanghai,31.22,121.46,30.75
2030,4,356,India,21206,Mumbai (Bombay),19.07,72.88,27.80
2030,5,156,China,20464,Beijing,39.91,116.40,27.71
2030,6,50,Bangladesh,20119,Dhaka,23.71,90.41,27.37
2030,7,586,Pakistan,22044,Karachi,24.91,67.08,24.84
2030,8,818,Egypt,22812,Al-Qahirah (Cairo),30.04,31.24,24.50
2030,9,566,Nigeria,22007,Lagos,6.45,3.40,24.24
2030,10,484,Mexico,21853,Ciudad de MŽxico (Mexico City),19.43,-99.14,23.86
2030,11,76,Brazil,20287,S‹o Paulo,-23.55,-46.64,23.44
2030,12,180,Democratic Republic of the Congo,20853,Kinshasa,-4.33,15.31,20.00
2030,13,392,Japan,206459,Kinki M.M.A. (Osaka),34.68,135.55,19.98
2030,14,840,United States of America,23083,New York-Newark,40.72,-74.00,19.89
2030,15,356,India,21211,Kolkata (Calcutta),22.53,88.36,19.09
2030,16,156,China,20517,"Guangzhou, Guangdong",23.13,113.26,17.57
2030,17,156,China,20484,Chongqing,29.56,106.55,17.38
2030,18,32,Argentina,20058,Buenos Aires,-34.61,-58.40,16.96
2030,19,608,Philippines,22109,Manila,14.60,120.98,16.76
2030,20,792,Turkey,22691,Istanbul,41.01,28.95,16.69
2030,21,356,India,21176,Bangalore,12.97,77.59,14.76
2030,22,156,China,20689,Tianjin,39.11,117.19,14.66
2030,23,76,Brazil,20272,Rio de Janeiro,-22.90,-43.21,14.17
2030,24,356,India,21321,Chennai (Madras),13.05,80.25,13.92
2030,25,360,Indonesia,21454,Jakarta,-6.21,106.84,13.81
2030,26,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,13.26
2030,27,586,Pakistan,22046,Lahore,31.55,74.34,13.03
2030,28,356,India,21275,Hyderabad,17.38,78.47,12.77
2030,29,156,China,20667,Shenzhen,22.54,114.06,12.67
2030,30,604,Peru,22078,Lima,-12.04,-77.03,12.22
